Post_Id,Core_Node,Image_freeze,link_media,link_embeded,relationship_event_actor,media_venue,blurb,link_post,media_type,date,tag_1,tag_2,message,shares,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,likes,total_likes
110,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCTy-Y2UdV4UzlW&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FkQ6ON_mnH8o%2Fhqdefault.jpg&cfs=1&sx=120&sy=0&sw=360&sh=360,https://www.youtube.com/watch?v=kQ6ON_mnH8o&feature=youtu.be,https://www.youtube.com/embed/kQ6ON_mnH8o?autoplay=1,Comunicado Mesa de diálogo BARRO BLANCO 19-3-15,youtube.com,"""La mesa de Diálogo Barro Blanco a partir del 19 de marzo de 2015 publicaran los comunicados en ambos idiomas (Español- Ngäbe).
En este vídeo les presentamos el primer comunicado escrito y leído en Ngäbe por un niño de la comunidad Cultural de Kiad que aprendió del sistema de Lecto-escritura Ngäbe""",https://www.facebook.com/560058540683250/posts/871577819531319,video,2015-03-28T15:37:18+0000,,,,,,Jonathan Gonzalez Quiel,,,,,,,,,,,,,,,,,,,1
109,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQACtY3Lzd__Abh1&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FozKXpDE-HLk%2Fhqdefault.jpg&cfs=1,https://www.youtube.com/watch?v=ozKXpDE-HLk,https://www.youtube.com/embed/ozKXpDE-HLk?autoplay=1,Panamá: indígenas piden suspender proyecto hidroeléctrico Barro Blanco,youtube.com,"""Indígenas originarios panameños continœan con su lucha para evitar y prohibir de manera definitiva cuya suspensión por el momento es temporal con el proyecto hidroeléctrico Barro Blanco, el cual, arguyen destruiría sus tierras y causaría desplazamientos de sus habitantes. Eso debido a que el consorcio que la edifica en Chiriquí, ha incumplido con lineamientos ambientales. teleSUR""",https://www.facebook.com/560058540683250/posts/869738483048586,video,2015-03-24T01:36:56+0000,,,,,,,,,,,,,,,,,,,,,,,,,0
108,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCKwXnOHNFGuO5P&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2Fm1Mwfw4JA6M%2Fmaxresdefault.jpg&cfs=1&sx=451&sy=0&sw=1080&sh=1080,https://www.youtube.com/watch?v=m1Mwfw4JA6M,https://www.youtube.com/embed/m1Mwfw4JA6M?autoplay=1,Avanzan diálogos entre Panamá e indígenas sobre caso Barro Blanco,youtube.com,"""En Panamá, avanza el diálogo entre los indígenas que rechazan la construcción de la hidroeléctrica de Barro Blanco, al occidente de la capital, y el Gobierno nacional. Las conversaciones son acompañadas por la Organización de las Naciones Unidas (ONU).

Los indígenas llevan más de 15 años luchando para detener la construcción de una represa en el río Tabasará. Sin embargo, no fue hasta ahora que el Gobierno estableció una mesa de diálogo.

Después de 6 sesiones, quedó en evidencia las incongruencias entre el diseño y las dimensiones reales del proyecto, además del desarraigo de las comunidades donde funciona la œnica escuela de lectoescritura de la lengua Ngäbe.

Los representantes de Generadora del Istmo, constructora de la hidroeléctrica, decidieron sumarse al diálogo después que el Gobierno ordenó la suspensión de las obras en febrero pasado, a pesar que solo resta 5 por ciento de la construcción.

A la mesa se sumaron antropólogos, ingenieros, biólogos entre otros expertos, para ayudar a los indígenas y encontrar una solución pacífica a este conflicto, provocado por el modelo de uso energético del país.

El diálogo se desarrollará hasta finales de abril, para entonces se debe determinar si se puede llegar a un acuerdo provechoso para ambas partes o si se debe cancelar definitivamente el proyecto.

Claudia Figueroa, Ciudad de Panamá.""",https://www.facebook.com/560058540683250/posts/869735836382184,video,2015-03-24T01:26:27+0000,,,,,,,,,,,,,,,,,,,,,,,,,0
107,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQCoCiG26TlXGQjZ&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2F2U8IUd6iRek%2Fhqdefault.jpg&cfs=1&sx=82&sy=0&sw=360&sh=360,https://www.youtube.com/watch?v=2U8IUd6iRek&feature=youtu.be,https://www.youtube.com/embed/2U8IUd6iRek?autoplay=1,"""Panamá: comarca Ngäbe-Buglé exige cancelar proyecto """"barro blanco""""""",youtube.com,"""Indígenas de la comarca Ngäbe Buglé continuaron el diálogo con la empresa Genisa en Panamá, quien está llevando a cabo el proyecto hidroeléctrico """"barro blanco"""". Los originarios exigen la cancelación de este proyecto. teleSUR""",https://www.facebook.com/560058540683250/posts/869735789715522,video,2015-03-24T01:26:14+0000,,,,,,,,,,,,,,,,,,,,,,,,,0
106,Sistema de lecto y escritura del Idioma Ngabe,https://fbcdn-sphotos-b-a.akamaihd.net/hphotos-ak-xap1/v/t1.0-9/s130x130/11040402_868147879874313_2055307989615583580_n.jpg?oh=97eb81c2faa57ce2582f6fd6ce1875c6&oe=55BBBFBA&__gda__=1433387236_dd448361957f772b72cd37bffb5d67fa,https://www.facebook.com/SistemaDeLectoYEscrituraDelIdiomaNgabe/photos/a.560074977348273.1073741828.560058540683250/868147879874313/?type=1,,,,,https://www.facebook.com/560058540683250/posts/868155373206897,photo,2015-03-20T20:37:40+0000,Tabasará libre,Comunidad Cultural De KIAD Bägämä Comarca Ngabe Bugle.,"""HISTORICO la mesa de diálogo de barro blanco en conjunto con las naciones unidas sede Panamá  O-N-U  decidieron ayer 19 de marzo 2015 en la ciudad de Panamá emitir a partir de la fecha todos los comunicados de prensa en el idioma Espa–ol y el idioma Ngäbe esto seda después de que dentro de la mesa de diálogo se dejara en evidencia de que GENISA empresa que construye la hidroeléctrica de Barro Blanco no contemplo en el  estudio de impacto ambiental la existencia de elemento cultural en el área de afectación directa por el proyecto barro blanco en el rió Tabasará libre  y que al igual que esta empresa todas las expresas que invierten en Panamá jamas contempla las diferentes cosmovisiones y de paso desconoce y viola la cultura de los  pueblos indígenas de Panamá  aun cuando este país es multi cultural, en la mesa de diálogo se dejo claro la necesidad de que para proyecto de impacto en el pueblo indígenas en Panamá es importe que las consultas o informaciones debe  ser en el idioma originario de los pueblos indígenas para así garantizar el respeto de sus cosmovisiones y cultura.
Con este acuerdo a partir de ahora los comunicado de la mesa de diálogo de barro blanco saldrá en el idioma Espa–ol y en el idioma Ngäbe mediante el Lecto y Escritura del Idioma Ngäbe , es importante deja resaltar que este sistema surge en la Comunidad Cultural De KIAD Bägämä Comarca Ngabe Bugle. comunidad que es sede oficial de esta educación autónoma Ngäbe la cual desaparecería si el proyecto hidroeléctrico de Barro Blanco  continua y termina su construcción.""",19,Osbaldo Miranda,Nuvia Barrios,,,,,,,,,,,,,,,,,,,2
105,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQDYi5zT8pDbKkDO&w=130&h=130&url=https%3A%2F%2Fpbs.twimg.com%2Fmedia%2FCAkMO2LUwAAonXX.jpg%3Alarge&cfs=1,http://twitter.com/MirandaR_Kiad/status/579007477275967488/photo/1/large?utm_source=fb&utm_medium=fb&utm_campaign=MirandaR_Kiad&utm_content=579007477275967488,,Ricardo Miranda G on Twitter,twitter.com,HISTORICO ONU y mesa de diálogo de barro blanco acuerda emitir comunicado en Español en el idioma Ngäbe.,https://www.facebook.com/560058540683250/posts/868144979874603,link,2015-03-20T20:04:14+0000,,,,,,Orestes Pascale Samudio,,,,,,,,,,,,,,,,,,,1
104,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBNW7CT3hFgG5Af&w=130&h=130&url=https%3A%2F%2Fpbs.twimg.com%2Fmedia%2FCAkNCqkUwAAzB4d.jpg%3Alarge&cfs=1,http://twitter.com/MirandaR_Kiad/status/579008367630233600/photo/1/large?utm_source=fb&utm_medium=fb&utm_campaign=MirandaR_Kiad&utm_content=579008367630233600,,Ricardo Miranda G on Twitter,twitter.com,Respetando y reconociendo cultura ONU y la mesa de diálogo de Barro Blanco decide emitir comunicado en Español y Ngäbe‰Û,https://www.facebook.com/560058540683250/posts/868144876541280,link,2015-03-20T20:03:37+0000,,,,,,Orestes Pascale Samudio,,,,,,,,,,,,,,,,,,,1
103,Sistema de lecto y escritura del Idioma Ngabe,https://fbcdn-sphotos-e-a.akamaihd.net/hphotos-ak-xfp1/v/t1.0-9/s130x130/10430909_353789791486195_5683581748212371697_n.jpg?oh=201decf558e078f95f67d5d2abffdeac&oe=55AA1570&__gda__=1436599104_2ddeae58c097ce9e11bd5975b60f271b,https://www.facebook.com/InstitutoNacionaldeCulturaPanama/photos/a.353116838220157.1073741885.141045492760627/353789791486195/?type=1,,Instituto Nacional de Cultura de Panamá - INAC,,,https://www.facebook.com/560058540683250/posts/868134009875700,photo,2015-03-20T19:24:29+0000,Comunidad Cultural De KIAD Bägämä Comarca Ngabe Bugle .,,INAC reconoce la existencia del idioma Ngäbe y exalta el Sistema de lecto y escritura del idioma Ngäbe que emerge de la Comunidad Cultural De KIAD Bägämä Comarca Ngabe Bugle .,,,Orestes Pascale Samudio,Comunidad Cultural De KIAD Bägämä Comarca Ngabe Bugle .,Instituto Nacional de Cultura de Panamá - INAC,,,,,,,,,,,,,,,,,3
102,Sistema de lecto y escritura del Idioma Ngabe,https://fbcdn-vthumb-a.akamaihd.net/hvthumb-ak-xpf1/v/t15.0-10/s130x130/1921696_691533174221518_691530364221799_9269_1425_b.jpg?oh=88546d78969b9c7fdcb3c85e874001f4&oe=55BE63AA&__gda__=1433698337_7ce7915c82dce1aa66ec33fc629dfe00,https://www.facebook.com/video.php?v=691530364221799,https://scontent.xx.fbcdn.net/hvideo-xpa1/v/t42.1790-2/1928411_691533134221522_538945750_n.mp4?efg=eyJybHIiOjc0NywicmxhIjo4NDUsInFlX2dyb3VwcyI6WyJlXzAzMjRfMSJdfQ%3D%3D&rl=747&vabr=415&oh=44f4097b907ac44c8311038b726c80e6&oe=551AF58C,Movimiento Victoriano Lorenzo-MVL,,"""Weni Bagama de la Comunidad Cultural De KIAD Bägämä Comarca Ngabe Bugle . Presidenta de Lecto Escritura Ngabe.
Declaraciones con relación a la problematica de Barro Blanco.""",https://www.facebook.com/560058540683250/posts/859650110724090,video,2015-03-01T21:06:01+0000,,,,,Orestes Pascale Samudio,Elcio De Sá,,Movimiento Victoriano Lorenzo-MVL,,,,,,,,,,,,,,,,,3
101,Sistema de lecto y escritura del Idioma Ngabe,https://fbexternal-a.akamaihd.net/safe_image.php?d=AQBDzIa2YVpa-s8J&w=130&h=130&url=http%3A%2F%2Fi.ytimg.com%2Fvi%2FFylEl3RCECg%2Fmaxresdefault.jpg&cfs=1,https://www.youtube.com/watch?v=FylEl3RCECg&list=UUVZ10qSdrSXz-wwp0fjMP7w,https://www.youtube.com/embed/FylEl3RCECg?list=UUVZ10qSdrSXz-wwp0fjMP7w&autoplay=1,La Lucha de Rio Tabasará!,youtube.com,"""La Lucha de Rio Tabasará... Me fui con un grupo de personas a ver personalmente la Lucha de Los indígenas por su Comarca y la compañóa hidroeléctrica, y desp...""",https://www.facebook.com/560058540683250/posts/853790814643353,video,2015-02-16T04:14:25+0000,,,,,Orestes Pascale Samudio,Sistema de lecto y escritura del Idioma Ngabe,,,,,,,,,,,,,,,,,,,2
